host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price,distance_to_city_center,review_duration,email,phone,reviews,jumio,Long term stays allowed,Wifi,Essentials,Smoke alarm,avg_price_per_bedroom,mapped_property_type,mapped_bathrooms,mapped_room_type,response_time,neighbourhood_encoded
Johnny,2015-04-29,"Sydney, New South Wales, Australia",1.0,0.96,1,0.0,1,1,2,1,1,1,1125,1,1,1125,1125,1,1125,1,8,8,8,8,16,2,2,4.81,4.94,4.88,4.94,5.0,4.88,4.81,0,2,1,1,0,0.21,79.0,3.964100854451054,2311.0,1,1,1,1,1,1,1,1,138.02608522069195,2,5,3,4,32
Jo,2013-10-08,"Balmain, New South Wales, Australia",1.0,0.72,1,4.0,1,1,3,1,2,10,1125,10,10,1125,1125,10,1125,1,4,15,45,320,14,1,0,4.67,4.67,4.67,4.92,5.0,4.92,4.58,0,2,2,0,0,0.19,130.0,2.4530173651280838,1913.0,1,1,1,1,1,1,1,1,117.31939891873483,4,6,4,2,18
Craig,2013-03-18,"Sydney, New South Wales, Australia",1.0,0.89,1,1.0,1,1,4,2,2,14,1125,14,14,1125,1125,14,1125,1,0,5,10,82,29,5,2,4.97,5.0,4.97,5.0,5.0,5.0,4.9,0,2,2,0,0,0.37,264.0,3.208143733329383,2351.0,1,1,1,1,1,1,1,1,198.09007603821408,4,6,4,4,37
Rick,2015-05-04,"New South Wales, Australia",1.0,0.0,0,1.0,1,1,2,1,1,90,1125,90,90,1125,1125,90,1125,1,0,0,0,0,103,0,0,4.93,4.95,4.99,4.91,4.96,4.95,4.88,0,1,0,1,0,1.29,95.0,1.9739450172763147,1771.0,1,1,1,1,1,1,1,1,138.02608522069195,2,4,3,2,32
Yaël,2014-10-15,"Bondi Beach, New South Wales, Australia",1.0,1.0,1,1.0,1,1,2,1,1,2,60,2,2,60,60,2,60,1,0,29,54,140,43,2,0,4.98,4.91,4.93,4.95,4.98,4.93,4.7,0,1,0,1,0,0.58,136.0,6.082768107556653,1994.0,1,1,1,1,1,1,1,1,183.21820800371313,2,4,3,4,35
Contemporary Hotels,2012-07-24,"Sydney, New South Wales, Australia",0.97,0.46,1,64.0,1,1,10,5,5,2,90,2,7,90,365,3,142,1,22,50,80,350,8,1,1,4.63,4.75,4.5,5.0,5.0,5.0,4.38,0,19,19,0,0,0.11,2100.0,31.751357787633363,2091.0,1,1,1,1,1,1,1,1,138.02608522069195,5,3,4,3,38
Contemporary Hotels,2012-07-24,"Sydney, New South Wales, Australia",0.97,0.46,1,64.0,1,1,6,3,4,7,365,7,7,365,365,7,365,1,13,34,61,330,7,1,0,5.0,5.0,4.86,5.0,5.0,5.0,4.57,0,19,19,0,0,0.1,2414.0,30.460278499032277,1930.0,1,1,1,1,1,1,1,1,255.97059136060957,5,3,4,3,26
Mary,2015-05-08,"The Rocks, New South Wales, Australia",1.0,1.0,1,4.0,1,1,2,1,1,1,1125,1,1,1125,1125,1,1125,1,0,0,0,114,446,0,0,4.87,4.95,4.93,4.93,4.87,4.97,4.86,1,4,0,4,0,5.58,120.0,1.3943013844410435,1764.0,1,1,1,0,1,1,1,1,138.02608522069195,2,4,3,4,32
Nicole,2015-05-10,"Sydney, New South Wales, Australia",1.0,0.94,1,1.0,1,1,2,1,1,1,10,1,1,10,10,1,10,1,22,52,82,357,119,7,3,4.8,4.91,4.88,4.97,4.98,4.97,4.82,1,1,0,1,0,1.5,98.0,4.296630991709583,2368.0,1,1,1,1,0,1,1,1,153.45101102941177,2,4,3,4,23
Miriam,2015-05-11,"Sydney, New South Wales, Australia",1.0,0.99,1,5.0,1,1,4,1,2,1,1125,1,1,1125,1125,1,1125,1,8,33,63,338,503,44,0,4.84,4.95,4.88,4.91,4.93,4.97,4.77,1,1,1,0,0,6.33,171.0,6.1725858909398506,2275.0,1,1,1,0,1,1,1,1,183.21820800371313,4,6,4,4,35
Bondi Beach Holiday Homes,2010-04-26,"Tamarama, New South Wales, Australia",0.96,0.86,0,58.0,1,1,8,4,5,7,60,7,7,60,60,7,60,1,14,14,14,14,1,0,0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,0,54,54,0,0,0.01,1100.0,6.004919820194434,0.0,1,1,1,1,1,1,1,1,183.21820800371313,5,3,4,3,35
Christine,2015-05-14,"Sydney, New South Wales, Australia",1.0,1.0,0,1.0,1,1,2,1,1,3,89,3,3,89,89,3,89,1,4,34,64,64,36,9,2,4.89,4.91,4.91,4.97,5.0,4.94,4.89,0,1,0,1,0,0.51,99.0,2.981481157976255,2121.0,1,1,1,1,1,1,1,1,117.31939891873483,2,5,3,4,18
Angus,2013-06-18,"Tamarama, New South Wales, Australia",1.0,0.6,0,1.0,1,1,6,3,4,5,1125,5,5,1125,1125,5,1125,1,0,0,0,0,11,1,0,4.91,4.91,4.27,5.0,4.82,4.91,5.0,0,1,1,0,0,0.17,2000.0,5.947302996062095,1893.0,1,1,1,1,1,1,1,1,183.21820800371313,5,3,4,4,35
Sam,2014-12-15,"Sydney, New South Wales, Australia",1.0,1.0,0,2.0,1,1,4,1,1,90,1125,90,90,1125,1125,90,1125,1,6,36,66,341,3,0,0,4.0,4.67,3.5,5.0,5.0,5.0,4.33,1,2,1,1,0,0.05,89.0,5.851324947909879,34.0,1,1,1,1,1,1,1,1,183.21820800371313,2,4,3,4,35
Melodie,2014-06-01,"New South Wales, Australia",1.0,1.0,1,1.0,1,1,3,1,1,2,365,2,3,365,365,2,365,1,4,22,52,309,106,25,0,4.96,4.99,4.97,5.0,4.97,4.94,4.87,1,3,3,0,0,1.8,230.0,9.68379323016269,1719.0,1,1,1,1,1,1,1,1,192.27598747261771,4,6,4,4,20
Jason,2013-10-12,"Sydney, New South Wales, Australia",1.0,0.63,0,2.0,1,1,4,2,2,10,1124,10,10,1124,1124,10,1124,1,19,20,20,262,26,1,0,4.81,4.73,4.77,4.96,5.0,5.0,4.58,0,2,2,0,0,0.33,326.0,1.9338685943849057,2300.0,1,1,1,1,1,1,1,1,198.09007603821408,5,6,4,3,37
Amber,2014-08-27,"Sydney, New South Wales, Australia",0.77,0.3,0,3.0,1,1,4,1,4,1,1125,1,4,6,1125,1,1001,1,6,20,45,310,178,12,0,4.76,4.85,4.82,4.96,4.92,4.87,4.73,0,3,3,0,0,2.23,186.0,13.003666518510963,2355.0,1,1,1,1,1,1,1,1,157.98023595334942,5,6,4,2,34
Jen,2012-01-18,"Sydney, New South Wales, Australia",1.0,0.96,0,1.0,1,1,4,2,2,3,1124,3,3,1124,1124,3,1124,1,0,0,0,5,148,9,3,4.81,4.81,4.9,4.94,5.0,4.96,4.77,0,1,1,0,0,1.9,182.0,3.0244103149497557,2323.0,1,1,1,1,1,1,1,1,117.31939891873483,4,6,4,4,18
Rosemary,2015-05-19,"New South Wales, Australia",0.5,0.36,1,2.0,1,1,3,2,2,90,1125,90,90,1125,1125,90,1125,1,0,5,35,35,12,0,0,5.0,4.92,4.92,5.0,5.0,5.0,5.0,0,2,0,2,0,0.24,45.0,46.723435827599005,1104.0,1,1,1,1,1,1,1,1,71.02556818181817,2,4,3,2,6
Alex,2015-03-15,"Bronte, New South Wales, Australia",1.0,1.0,0,1.0,1,1,6,3,2,3,1125,3,3,1125,1125,3,1125,1,0,14,14,14,3,0,0,5.0,5.0,5.0,5.0,5.0,4.67,4.67,0,1,1,0,0,0.04,250.0,5.670173091853277,725.0,1,1,1,1,1,1,1,1,183.21820800371313,5,3,4,2,35
Sheleyah,2015-04-07,Australia,1.0,0.93,1,1.0,1,1,2,1,2,2,30,2,3,30,30,2,30,1,16,46,76,351,117,19,3,4.68,4.85,4.66,4.98,4.97,4.94,4.56,0,1,1,0,0,1.56,187.0,24.430976532100495,2247.0,1,1,1,1,1,1,1,1,138.67108953095203,4,6,4,4,31
Sonia,2015-05-20,"North Willoughby, New South Wales, Australia",1.0,1.0,0,2.0,1,1,6,2,3,5,1125,5,5,1125,1125,5,1125,1,0,0,0,0,2,0,0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,0,2,1,1,0,0.03,350.0,6.748132378840754,1152.0,1,1,1,1,1,1,1,1,100.7890625,5,3,4,4,36
Brigitte,2013-07-17,"Sydney, New South Wales, Australia",1.0,0.89,0,1.0,1,1,3,2,2,2,30,2,2,30,30,2,30,1,9,19,49,324,41,11,1,4.68,4.68,4.5,4.93,4.93,4.95,4.4,0,1,1,0,0,0.54,264.0,24.507676754502018,2233.0,1,1,1,1,1,0,1,1,138.67108953095203,5,6,4,3,31
Natasha,2014-01-14,"New South Wales, Australia",0.9,0.55,0,1.0,1,1,4,2,3,4,1125,4,12,1125,1125,4,1125,1,20,50,80,355,65,5,0,4.42,4.66,4.34,4.78,4.84,4.64,4.38,0,1,1,0,0,0.87,99.0,5.673272699130745,2055.0,1,1,1,0,1,1,1,1,93.51619733735731,4,6,4,2,21
Effie,2015-03-20,"Mosman, New South Wales, Australia",1.0,0.8164300559552359,0,1.0,1,1,6,4,5,7,1125,7,7,1125,1125,7,1125,1,30,60,83,83,5,0,0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,0.08,1300.0,6.022748239571462,1109.0,1,1,1,1,1,1,1,1,220.34827684827684,5,3,4,2,22
Phillip,2012-03-19,"Sydney, New South Wales, Australia",1.0,0.71,1,14.0,1,1,2,1,1,7,1124,2,7,1124,1124,6,1124,1,13,43,73,163,67,4,0,4.69,4.87,4.64,4.89,4.94,4.88,4.52,0,10,10,0,0,0.85,115.0,1.7130521655259001,2045.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Zed,2013-03-07,"Abbotsford, British Columbia, Canada",0.83,0.0,0,2.0,1,1,4,1,2,90,1120,90,90,1120,1120,90,1120,1,18,48,71,299,10,0,0,4.7,4.8,4.4,4.9,5.0,4.9,4.9,0,2,0,2,0,0.19,155.0,7.956559456113855,896.0,1,1,1,1,1,1,1,1,106.39955357142857,2,5,3,2,8
Zed,2013-03-07,"Abbotsford, British Columbia, Canada",0.83,0.0,0,2.0,1,1,2,1,2,90,305,90,90,305,305,90,305,1,30,60,90,90,5,0,0,5.0,4.67,4.67,5.0,5.0,5.0,5.0,0,2,0,2,0,0.07,60.0,7.392217029041978,1240.0,1,1,1,1,1,1,1,1,106.39955357142857,2,5,3,2,8
Genevieve,2014-08-13,"Paddington, New South Wales, Australia",1.0,0.98,1,3.0,1,1,8,4,5,7,40,7,7,40,40,7,40,1,5,11,41,308,10,0,0,4.89,4.89,5.0,5.0,5.0,4.89,4.89,0,2,2,0,0,0.13,600.0,3.1949763645737623,1265.0,1,1,1,0,1,1,1,1,198.09007603821408,5,3,4,4,37
Audrey,2013-10-27,"San Diego, California, United States",1.0,1.0,0,2.0,1,1,5,2,2,6,1125,2,7,1125,1125,6,1125,1,1,11,11,11,17,0,0,4.56,4.44,4.13,4.88,4.75,4.88,4.56,1,1,1,0,0,0.22,220.0,11.31122869826598,1585.0,1,1,1,1,1,1,1,1,192.27598747261771,4,6,4,3,20
Susy,2015-05-27,"New South Wales, Australia",1.0,0.64,1,1.0,1,1,4,1,4,1,1125,1,1,1125,1125,1,1125,1,0,8,23,298,208,1,0,4.88,4.91,4.96,4.95,4.94,4.7,4.8,0,1,1,0,0,2.67,98.0,9.502078136579625,2215.0,1,1,1,1,1,1,1,1,75.42923051573571,5,6,4,3,28
Linda,2015-05-27,"Sydney, New South Wales, Australia",1.0,1.0,0,1.0,1,0,8,4,5,7,21,7,7,1125,1125,7,1125,1,4,17,47,137,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,0.04,640.0,28.556497921985006,0.0,1,1,0,0,0,1,0,1,255.97059136060957,5,6,4,4,26
Michael,2014-06-21,"New South Wales, Australia",1.0,0.96,1,3.0,1,1,6,4,4,4,1125,4,4,1125,1125,4,1125,1,0,0,0,0,5,0,0,4.4,4.4,4.2,5.0,5.0,5.0,4.4,1,2,2,0,0,0.07,500.0,4.92024640928958,1235.0,1,1,1,1,1,1,1,1,135.26623842867315,5,3,4,4,27
Chloe,2015-04-06,"New South Wales, Australia",1.0,1.0,0,0.0,1,1,4,2,2,5,365,2,5,365,365,5,365,1,1,4,12,12,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,0.01,157.0,4.519918794382997,0.0,1,1,1,1,1,1,1,1,93.51619733735731,4,6,4,2,21
Tanya,2014-11-17,"New South Wales, Australia",1.0,1.0,0,1.0,1,1,5,3,4,4,20,4,4,1125,1125,4,1125,1,2,21,21,21,6,0,0,4.0,4.2,4.0,5.0,5.0,5.0,3.8,0,1,1,0,0,0.08,1200.0,27.469145141104345,1482.0,1,1,1,1,0,1,1,1,255.97059136060957,5,3,4,3,26
Stanmore,2015-05-28,"Stanmore, New South Wales, Australia",1.0,0.88,1,10.0,1,1,4,1,2,2,28,2,2,28,28,2,28,1,5,26,41,309,37,5,2,4.69,4.86,4.86,4.85,4.81,4.79,4.79,0,4,3,1,0,0.49,105.0,4.963547563692143,2257.0,1,1,1,0,1,1,1,1,93.51619733735731,4,6,4,3,21
L'Abode Accommodation Specialist,2013-07-10,"Greens Beach, Tasmania, Australia",0.99,0.97,0,163.0,1,1,3,2,2,3,1125,3,14,1125,1125,4,1125,1,19,46,72,343,91,0,0,4.5,4.67,4.56,4.69,4.54,4.85,4.48,1,109,109,0,0,1.16,197.0,1.3261774406140303,1866.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
PropertyProviders,2014-06-04,"Seaforth, New South Wales, Australia",0.69,0.31,0,81.0,1,1,4,2,3,90,1125,90,90,1125,1125,90,1125,1,0,0,0,0,10,0,0,4.7,4.7,4.8,3.9,4.6,5.0,4.6,0,87,87,0,0,0.14,503.0,10.65448733140652,1499.0,1,1,1,1,1,1,1,0,192.27598747261771,4,6,4,2,20
Stanmore,2015-05-28,"Stanmore, New South Wales, Australia",1.0,0.88,1,10.0,1,1,4,1,3,2,28,2,2,28,28,2,28,1,7,37,52,167,14,5,1,4.86,4.93,5.0,5.0,5.0,4.93,4.93,0,4,3,1,0,0.19,105.0,4.7177786112170335,2190.0,1,1,1,0,1,1,1,1,93.51619733735731,4,6,4,3,21
Roberta,2015-06-03,"Woollahra, New South Wales, Australia",1.0,1.0,1,2.0,1,1,2,1,1,1,1125,1,1,1125,1125,1,1125,1,4,18,31,31,211,23,0,4.97,5.0,4.97,4.99,4.99,4.98,4.95,0,2,1,1,0,2.67,135.0,3.206162362788225,2333.0,1,1,1,1,1,1,1,1,198.09007603821408,2,5,3,4,37
Catherine,2014-12-29,"Manly, New South Wales, Australia",1.0,0.0,0,2.0,1,0,6,3,3,90,1125,90,90,1125,1125,90,1125,1,30,60,90,270,3,0,0,4.33,4.33,4.0,5.0,5.0,5.0,4.0,1,1,0,1,0,0.13,750.0,10.31006321807958,156.0,1,1,0,0,1,1,1,1,192.27598747261771,2,3,3,2,20
琳,2015-04-10,"Robertson, New South Wales, Australia",1.0,0.57,0,5.0,1,1,4,1,2,90,1125,90,90,1125,1125,90,1125,1,23,53,83,358,9,0,0,4.75,4.63,4.63,4.88,4.63,4.88,4.75,0,1,0,1,0,0.11,100.0,18.276248378219805,1017.0,1,1,1,1,1,1,1,0,66.36538461538461,2,6,3,4,15
Rob,2015-06-07,"Tablelands, Queensland, Australia",1.0,0.0,0,1.0,1,1,4,2,2,90,1125,90,90,1125,1125,90,1125,1,0,1,1,1,9,0,0,4.89,4.89,4.67,5.0,4.89,5.0,4.67,0,1,1,0,0,0.12,300.0,2.119661669723862,139.0,1,1,1,1,1,1,1,1,153.45101102941177,4,6,4,3,23
Sarah,2013-03-10,"Avalon Beach, New South Wales, Australia",0.67,0.0,0,1.0,1,1,5,3,4,7,30,7,7,30,30,7,30,1,13,13,13,13,5,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,0.07,1000.0,28.88599501661318,1107.0,1,1,1,1,1,1,1,1,255.97059136060957,5,3,4,2,26
Veronica / Pino,2014-08-02,"New South Wales, Australia",0.9,0.54,0,1.0,1,1,4,1,3,1,1125,1,1,1125,1125,1,1125,1,9,37,67,342,253,6,1,4.8,4.91,4.9,4.93,4.93,4.7,4.84,0,1,1,0,0,3.22,100.0,12.203879694198903,2348.0,1,1,1,0,1,1,1,1,75.42923051573571,5,6,4,2,28
Stanmore,2015-05-28,"Stanmore, New South Wales, Australia",1.0,0.88,1,10.0,1,1,2,1,1,2,28,2,2,28,28,2,28,1,27,57,72,343,12,0,0,4.36,4.64,4.64,4.64,4.64,4.45,4.45,0,4,3,1,0,0.16,85.0,4.9182301736608105,1547.0,1,1,1,0,1,1,1,1,93.51619733735731,2,5,3,3,21
Stanmore,2015-05-28,"Stanmore, New South Wales, Australia",1.0,0.88,1,10.0,1,1,4,1,2,2,28,2,2,28,28,2,28,1,7,37,52,320,45,3,1,4.48,4.7,4.6,4.69,4.67,4.74,4.79,0,4,3,1,0,0.59,105.0,4.658624411779833,2291.0,1,1,1,0,1,1,1,1,93.51619733735731,4,6,4,3,21
Louise,2015-06-09,"Sydney, New South Wales, Australia",1.0,0.84,1,1.0,1,1,4,1,1,3,90,1,5,90,90,3,90,1,0,0,0,197,107,8,3,4.94,4.95,4.87,5.0,4.98,4.86,4.9,0,1,1,0,0,1.4,175.0,5.408034703389514,2290.0,1,1,1,1,1,1,1,1,93.51619733735731,4,6,4,4,21
Judy,2015-06-17,"Saint Ives, New South Wales, Australia",1.0,0.3,0,1.0,1,1,4,2,2,4,1125,4,4,1125,1125,4,1125,1,9,9,25,300,14,2,1,4.85,4.85,4.92,5.0,5.0,4.92,4.92,0,1,1,0,0,0.19,150.0,16.52579729642255,2171.0,1,1,1,0,1,1,1,1,116.07480748074806,5,3,4,3,16
Glen,2015-06-16,"Rosebery, New South Wales, Australia",1.0,0.0,0,0.0,1,0,2,1,1,90,1125,90,90,1125,1125,90,1125,1,28,58,88,363,6,0,0,5.0,5.0,5.0,5.0,5.0,4.6,5.0,0,1,0,1,0,0.08,55.0,5.140788222100287,415.0,1,1,1,0,1,1,1,1,138.02608522069195,2,5,3,2,32
Christian,2010-08-16,"Sydney, New South Wales, Australia",1.0,0.77,1,1.0,1,1,1,1,1,2,100,2,2,100,100,2,100,1,9,39,62,62,45,6,1,4.87,4.93,4.8,4.93,4.91,4.84,4.82,0,1,0,1,0,0.58,60.0,4.190570921565484,2294.0,1,1,1,1,1,1,1,1,138.02608522069195,2,5,3,3,32
Irene,2015-06-18,"Surry Hills, New South Wales, Australia",1.0,1.0,0,9.0,1,1,2,1,1,1,1125,1,1,1125,1125,1,1125,1,24,32,59,237,34,11,1,4.38,4.5,4.53,4.76,4.76,4.85,4.42,1,11,0,5,6,0.45,95.0,1.3587822318845653,2251.0,1,1,1,0,1,1,1,1,138.02608522069195,2,6,4,4,32
Irene,2015-06-18,"Surry Hills, New South Wales, Australia",1.0,1.0,0,9.0,1,1,2,1,2,1,1125,1,1,1125,1125,1,1125,1,10,35,38,216,11,2,0,4.3,4.3,4.1,4.5,4.6,4.9,4.7,1,11,0,5,6,0.15,92.0,1.365481501440184,1849.0,1,1,1,0,1,1,1,1,138.02608522069195,2,4,3,4,32
Sue,2015-06-18,"Sydney, New South Wales, Australia",1.0,0.95,1,1.0,1,1,2,1,1,3,90,3,3,90,90,3,90,1,3,3,18,108,75,6,0,4.92,4.97,4.99,4.99,5.0,4.97,4.91,0,1,1,0,0,1.01,153.0,3.2190055268307227,2062.0,1,1,1,1,1,1,1,1,198.09007603821408,4,6,4,3,37
Alex,2012-07-22,"Coogee, New South Wales, Australia",1.0,0.63,0,1.0,1,1,4,2,5,3,1125,3,3,1125,1125,3,1125,1,3,15,30,284,76,0,0,4.89,4.9,4.82,4.98,4.97,4.95,4.73,0,1,1,0,0,1.13,395.0,6.888339885024168,1626.0,1,1,1,1,0,1,0,1,135.26623842867315,4,3,4,3,27
Kylie,2013-12-19,"New South Wales, Australia",1.0,1.0,1,1.0,1,1,2,1,1,2,14,2,2,14,14,2,14,1,2,19,47,322,211,26,2,4.9,4.96,4.91,4.99,4.98,4.91,4.87,0,1,1,0,0,2.69,104.0,5.910324218503238,2346.0,1,1,1,1,0,1,1,1,93.51619733735731,5,6,4,4,21
Charlotte,2013-02-13,"Sydney, New South Wales, Australia",1.0,0.98,0,3.0,1,1,5,2,2,2,1125,2,2,1125,1125,2,1125,1,3,15,42,54,202,10,2,4.7,4.79,4.7,4.95,4.95,4.99,4.62,0,2,2,0,0,2.88,244.0,2.729874393778223,2084.0,1,1,1,1,1,1,1,1,117.31939891873483,5,6,4,4,18
Rod,2011-11-09,"Rozelle, New South Wales, Australia",1.0,0.63,0,3.0,1,1,2,1,1,1,150,1,1,1125,1125,1,1125,1,22,52,82,82,55,6,1,4.95,4.96,4.96,4.96,4.93,4.91,4.85,0,3,1,2,0,0.72,120.0,3.6176655802026265,2294.0,1,1,1,1,1,1,1,1,117.31939891873483,2,6,3,3,18
Ramy,2014-11-12,"Sydney, New South Wales, Australia",0.94,0.96,0,2.0,1,1,4,2,3,2,90,2,3,90,90,2,90,1,9,38,64,339,173,22,3,4.66,4.83,4.68,4.85,4.85,4.94,4.62,0,2,2,0,0,2.24,340.0,0.9650102452434508,2311.0,1,1,1,0,1,1,1,1,138.02608522069195,4,3,4,3,32
Lauren,2013-11-25,"New South Wales, Australia",1.0,0.77,1,7.0,1,1,3,1,2,7,120,2,7,120,120,7,120,1,8,17,47,322,79,4,1,4.6,4.6,4.71,4.88,4.88,4.93,4.6,0,7,7,0,0,1.04,177.0,6.430463622953811,2258.0,1,1,1,0,1,1,1,1,183.21820800371313,4,6,4,4,35
Patricia,2011-04-13,"Sydney, New South Wales, Australia",1.0,1.0,1,4.0,1,1,3,1,2,1,1125,1,3,1125,1125,1,1125,1,13,21,45,320,87,2,1,4.82,4.89,4.64,4.9,4.86,4.78,4.63,0,4,0,4,0,1.12,115.0,4.352812999621561,2301.0,1,1,1,1,1,1,1,1,183.21820800371313,2,4,3,4,35
Travis & Shauna,2015-06-30,"Hilo, Hawaii, United States",1.0,0.95,0,6.0,1,1,8,3,5,5,60,5,5,60,60,5,60,1,11,35,65,337,3,0,0,5.0,4.67,4.0,5.0,5.0,4.67,4.67,0,3,3,0,0,0.04,500.0,20.26672766563992,381.0,1,1,1,1,1,1,1,1,255.97059136060957,5,6,4,4,26
Anne,2013-11-17,"St Pauls, New South Wales, Australia",1.0,0.7,1,2.0,1,1,4,2,2,3,35,3,3,35,35,3,35,1,1,1,29,219,27,5,0,4.89,4.89,4.93,5.0,5.0,4.96,4.81,0,1,1,0,0,0.42,210.0,6.308446256090641,1772.0,1,1,1,1,1,1,1,1,135.26623842867315,4,6,4,3,27
Justine,2010-12-02,"Sydney, New South Wales, Australia",1.0,0.33,0,3.0,1,1,2,1,1,1,4,1,2,4,4,1,4,1,20,50,80,170,92,1,0,4.83,4.84,4.88,4.91,4.94,4.95,4.8,0,2,0,2,0,1.19,86.0,3.016418327932669,1956.0,1,1,1,1,0,1,1,1,198.09007603821408,2,5,3,4,37
John,2014-09-09,"Potts Point, New South Wales, Australia",1.0,1.0,0,22.0,1,1,2,1,2,6,1125,6,6,1125,1125,6,1125,1,24,54,84,359,60,3,0,4.58,4.58,4.72,4.86,4.85,4.83,4.66,1,22,22,0,0,0.79,169.0,1.4384408254174983,2118.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Cameron,2012-04-28,"Sydney, New South Wales, Australia",1.0,0.97,0,1.0,1,1,2,1,1,3,1125,2,3,1125,1125,3,1125,1,4,24,32,193,100,15,0,4.71,4.72,4.65,4.83,4.87,4.76,4.63,0,1,1,0,0,1.34,121.0,4.52497225413541,2198.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Kate,2015-07-07,"Sydney, New South Wales, Australia",1.0,0.8164300559552359,0,1.0,1,1,6,3,3,7,1125,7,7,21,1125,7,1052,1,20,22,22,22,15,0,0,4.8,4.87,4.93,4.87,4.93,5.0,4.8,0,1,1,0,0,0.2,650.0,11.93926448418931,1521.0,1,1,1,0,1,1,1,1,135.26623842867315,5,3,4,4,27
Maria,2013-11-22,"Manly, New South Wales, Australia",1.0,1.0,1,3.0,1,1,5,2,3,2,30,2,3,1125,1125,2,1125,1,3,11,13,13,121,17,0,4.88,4.93,4.79,4.96,4.97,4.99,4.82,1,2,1,1,0,1.6,279.0,10.708032916095007,2099.0,1,1,1,1,1,1,1,1,192.27598747261771,4,6,4,4,20
Rebecca,2015-07-07,"Sydney, New South Wales, Australia",1.0,0.96,1,2.0,1,1,4,2,2,3,1125,2,3,1125,1125,3,1125,1,0,0,3,202,98,15,1,4.97,4.95,4.85,4.97,4.97,4.92,4.92,0,1,1,0,0,1.27,200.0,3.332474402809395,2288.0,1,1,1,1,1,1,1,1,138.02608522069195,4,3,4,4,32
Belinda,2014-10-06,"Sydney, New South Wales, Australia",1.0,0.0,1,2.0,1,1,2,1,1,1,1125,1,1,1125,1125,1,1125,1,0,0,0,156,150,0,0,4.89,4.91,4.79,5.0,4.95,4.94,4.83,0,2,2,0,0,1.99,98.0,5.029866692975701,1630.0,1,1,1,1,0,1,0,1,220.34827684827684,5,6,4,3,22
Debra,2015-07-08,"New South Wales, Australia",1.0,0.92,1,1.0,1,1,4,2,2,3,1125,2,3,1125,1125,2,1125,1,0,10,40,286,54,4,1,4.87,4.92,4.87,4.94,4.98,4.89,4.74,0,1,1,0,0,0.71,210.0,16.220210293174254,2253.0,1,1,1,1,1,1,1,1,75.42923051573571,4,6,4,4,28
Kathy,2013-03-08,"West Pennant Hills, New South Wales, Australia",1.0,0.0,0,1.0,1,1,4,2,2,90,1125,90,90,1125,1125,90,1125,1,27,57,87,87,4,0,0,4.75,4.5,4.0,5.0,5.0,4.75,4.5,0,1,0,1,0,0.06,49.0,21.133871497196438,1445.0,1,1,1,0,1,1,1,1,114.50185185185185,2,4,3,3,33
Marsha,2014-09-23,"Freshwater, New South Wales, Australia",1.0,0.5,0,1.0,1,1,2,1,1,5,21,5,5,21,21,5,21,1,1,1,1,67,23,0,0,4.83,4.96,4.78,4.91,5.0,4.91,4.78,0,1,1,0,0,0.3,140.0,12.531941077452048,1625.0,1,1,1,1,0,1,1,1,157.98023595334942,4,6,4,4,34
Jhai,2013-09-02,"Sydney, New South Wales, Australia",1.0,1.0,0,1.0,1,1,1,1,2,1,1125,28,1,1125,3088569,1,1125,1,0,13,13,99,78,12,2,4.51,4.74,4.36,4.79,4.83,4.42,4.72,0,1,0,1,0,1.02,24.0,26.37184409387056,2286.0,1,1,1,1,1,1,1,1,69.13580246913581,2,4,3,4,12
Vincenzina,2013-06-23,"New South Wales, Australia",1.0,0.95,1,3.0,1,1,4,2,2,2,1125,2,2,1125,1125,2,1125,1,1,3,3,3,321,23,3,4.56,4.67,4.44,4.84,4.86,4.92,4.53,1,1,1,0,0,4.18,198.0,6.722458330657138,2290.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,4,35
